player_name,sg_total,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g
Norman Xiong,-1.068,0.327,-0.183,-1.462,0.25,-1.395
Ryan Brehm,-1.083,0.171,-0.378,-0.659,-0.216,-1.254
Matt NeSmith,-1.092,-0.478,-0.308,-0.286,-0.02,-0.613
David Lipsky,-1.133,-0.498,-0.05,-0.161,-0.425,-0.635
Josh Teater,-1.153,-0.764,0.474,-0.369,-0.494,-0.388
Hayden Buckley,-1.159,-0.046,-0.282,-0.634,-0.197,-1.113
Joe Highsmith,-1.181,-0.316,0.319,-0.467,-0.717,-0.865
Patrick Fishburn,-1.229,0.001,-0.805,-0.694,0.269,-1.229
Scott Gutschewski,-1.262,-0.383,0.053,-0.777,-0.156,-0.88
Pierceson Coody,-1.267,0.651,-0.61,-0.799,-0.508,-1.917
Davis Riley,-1.302,-0.06,-0.132,-0.241,-0.869,-1.242
Vince Whaley,-1.306,-0.462,0.083,-0.311,-0.615,-0.843
Ryan McCormick,-1.351,-0.209,-0.014,-0.453,-0.675,-1.142
Vincent Norrman,-1.407,-1.011,-0.26,-0.419,0.283,-0.396
Callum Tarren,-1.483,-0.179,-0.41,-0.506,-0.388,-1.304
Raul Pereda,-1.535,0.811,-0.37,-0.69,-1.286,-2.346
Alex Smalley,-1.672,-1.085,-0.434,-0.137,-0.016,-0.588
Ben Taylor,-1.716,-0.066,0.039,-0.86,-0.828,-1.65
Paul Barjon,-1.763,-0.467,-0.719,-0.594,0.016,-1.296
Camilo Villegas,-1.973,-0.29,-0.099,-0.465,-1.119,-1.683
Ben Kohles,-2.087,-0.827,-0.607,-0.581,-0.072,-1.26
Brandt Snedeker,-2.501,-0.408,-0.465,-1.099,-0.528,-2.093
Kevin Kisner,-2.531,-0.154,-0.494,-0.919,-0.964,-2.377
Adrien Dumont de Chassart,-2.572,-0.691,-0.667,-0.775,-0.438,-1.88
